track,rate_metric,rate_label,pixel_rate_px_s,assumed_full_frame_hfov_deg,assumed_slant_range_nm,source_width_px,implied_speed_mps,implied_speed_kts
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,0.5,1.0,1920,0.025,0.049
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,0.5,5.0,1920,0.126,0.246
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,0.5,10.0,1920,0.253,0.491
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,0.5,20.0,1920,0.505,0.982
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,0.5,50.0,1920,1.263,2.455
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,0.5,100.0,1920,2.526,4.91
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,1.0,1.0,1920,0.051,0.098
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,1.0,5.0,1920,0.253,0.491
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,1.0,10.0,1920,0.505,0.982
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,1.0,20.0,1920,1.01,1.964
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,1.0,50.0,1920,2.526,4.91
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,1.0,100.0,1920,5.052,9.821
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,2.0,1.0,1920,0.101,0.196
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,2.0,5.0,1920,0.505,0.982
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,2.0,10.0,1920,1.01,1.964
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,2.0,20.0,1920,2.021,3.928
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,2.0,50.0,1920,5.052,9.821
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,2.0,100.0,1920,10.104,19.641
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,4.0,1.0,1920,0.202,0.393
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,4.0,5.0,1920,1.01,1.964
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,4.0,10.0,1920,2.021,3.928
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,4.0,20.0,1920,4.042,7.857
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,4.0,50.0,1920,10.104,19.641
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,4.0,100.0,1920,20.209,39.283
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,8.0,1.0,1920,0.404,0.786
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,8.0,5.0,1920,2.021,3.928
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,8.0,10.0,1920,4.042,7.857
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,8.0,20.0,1920,8.084,15.713
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,8.0,50.0,1920,20.209,39.283
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,8.0,100.0,1920,40.418,78.566
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,10.0,1.0,1920,0.505,0.982
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,10.0,5.0,1920,2.526,4.91
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,10.0,10.0,1920,5.052,9.821
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,10.0,20.0,1920,10.104,19.641
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,10.0,50.0,1920,25.261,49.104
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,10.0,100.0,1920,50.522,98.207
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,20.0,1.0,1920,1.01,1.964
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,20.0,5.0,1920,5.052,9.821
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,20.0,10.0,1920,10.104,19.641
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,20.0,20.0,1920,20.209,39.283
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,20.0,50.0,1920,50.522,98.207
dense_5fps_full_validated_interval_50_87,net_rate_px_s,net start-to-end rate,3.001,20.0,100.0,1920,101.045,196.415
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,0.5,1.0,1920,0.716,1.391
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,0.5,5.0,1920,3.579,6.956
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,0.5,10.0,1920,7.157,13.913
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,0.5,20.0,1920,14.315,27.826
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,0.5,50.0,1920,35.787,69.564
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,0.5,100.0,1920,71.574,139.128
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,1.0,1.0,1920,1.431,2.783
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,1.0,5.0,1920,7.157,13.913
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,1.0,10.0,1920,14.315,27.826
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,1.0,20.0,1920,28.63,55.651
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,1.0,50.0,1920,71.574,139.128
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,1.0,100.0,1920,143.148,278.257
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,2.0,1.0,1920,2.863,5.565
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,2.0,5.0,1920,14.315,27.826
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,2.0,10.0,1920,28.63,55.651
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,2.0,20.0,1920,57.259,111.303
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,2.0,50.0,1920,143.148,278.257
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,2.0,100.0,1920,286.295,556.513
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,4.0,1.0,1920,5.726,11.13
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,4.0,5.0,1920,28.63,55.651
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,4.0,10.0,1920,57.259,111.303
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,4.0,20.0,1920,114.518,222.605
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,4.0,50.0,1920,286.295,556.513
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,4.0,100.0,1920,572.591,1113.027
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,8.0,1.0,1920,11.452,22.261
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,8.0,5.0,1920,57.259,111.303
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,8.0,10.0,1920,114.518,222.605
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,8.0,20.0,1920,229.036,445.211
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,8.0,50.0,1920,572.591,1113.027
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,8.0,100.0,1920,1145.181,2226.053
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,10.0,1.0,1920,14.315,27.826
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,10.0,5.0,1920,71.574,139.128
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,10.0,10.0,1920,143.148,278.257
dense_5fps_full_validated_interval_50_87,path_average_rate_px_s,path-length average rate,85.029,10.0,20.0,1920,286.295,556.513
